2026-06-14 20:27:28,191 | INFO     | transform.transformer | Starting transformation of 5 raw extracts
2026-06-14 20:27:28,210 | INFO     | transform.transformer | Transformation complete: 360 rows produced
2026-06-14 20:27:28,210 | INFO     | validate.validator | Running data validation on 360 rows
2026-06-14 20:27:28,212 | INFO     | validate.validator | Data validation passed.
2026-06-14 20:27:28,213 | INFO     | load.loader | Connected to database at /home/claude/weather_pipeline/data/weather_warehouse.db
2026-06-14 20:27:28,246 | INFO     | load.loader | Database tables created/verified successfully.
2026-06-14 20:27:28,252 | INFO     | load.loader | dim_location upsert complete (5 candidate rows)
2026-06-14 20:27:28,258 | INFO     | load.loader | dim_date upsert complete (3 candidate rows)
2026-06-14 20:27:28,263 | INFO     | load.loader | dim_weather_condition upsert complete (7 candidate rows)
2026-06-14 20:27:28,305 | INFO     | load.loader | Loaded 360 rows into fact_weather_observations
2026-06-14 20:27:28,305 | INFO     | load.loader | Database connection closed.
2026-06-14 20:27:29,076 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
2026-06-14 20:27:29,077 | INFO     | extract.extractor | Successfully extracted data for Kumasi
2026-06-14 20:27:29,078 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
2026-06-14 20:27:29,080 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
2026-06-14 20:27:29,081 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
2026-06-14 20:27:29,081 | WARNING  | extract.extractor | Connection error on attempt 1/2: boom
2026-06-14 20:27:29,081 | WARNING  | extract.extractor | Connection error on attempt 2/2: boom
2026-06-14 20:27:29,083 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
2026-06-14 20:27:29,083 | INFO     | extract.extractor | Successfully extracted data for Kumasi
2026-06-14 20:27:29,083 | INFO     | extract.extractor | Extraction complete: 1/1 locations successful
2026-06-14 20:27:29,084 | INFO     | extract.extractor | Extracting weather data for Kumasi, Ghana (lat=6.6885, lon=-1.6244)
